434,GA,13095,Dougherty,Albany,"94,565",851.299,328.689,15.395,5.944,866.694,334.633,31.535068,-84.214444
435,GA,13097,Douglas,Douglasville,"132,403",518.171,200.067,2.484,0.959,520.655,201.026,33.699317,-84.765944
436,GA,13099,Early,Blakely,"11,008","1,327.61",512.594,9.717,3.752,"1,337.33",516.346,31.324191,-84.906723
437,GA,13101,Echols,Statenville,"4,034","1,074.57",414.894,15.087,5.825,"1,089.66",420.719,30.7085,-82.836132
438,GA,13103,Effingham,Springfield,"52,250","1,237.24",477.7,13.548,5.231,"1,250.78",482.931,32.361711,-81.343337
439,GA,13105,Elbert,Elberton,"20,166",909.229,351.055,59.987,23.161,969.216,374.216,34.115017,-82.842057
440,GA,13107,Emanuel,Swainsboro,"22,598","1,762.76",680.604,24.807,9.578,"1,787.56",690.182,32.5911,-82.299763
441,GA,13109,Evans,Claxton,"11,000",473.586,182.853,10.404,4.017,483.99,186.87,32.151902,-81.887618
442,GA,13111,Fannin,Blue Ridge,"23,682","1,001.61",386.723,13.564,5.237,"1,015.17",391.96,34.863837,-84.319287
443,GA,13113,Fayette,Fayetteville,"106,567",503.344,194.342,12.897,4.979,516.241,199.321,33.412717,-84.493941
444,GA,13115,Floyd,Rome,"96,317","1,320.66",509.911,22.156,8.555,"1,342.82",518.466,34.263677,-85.21373
445,GA,13117,Forsyth,Cumming,"175,511",580.211,224.021,59.947,23.145,640.157,247.166,34.225143,-84.127336
446,GA,13119,Franklin,Carnesville,"22,084",677.273,261.497,12.832,4.955,690.105,266.452,34.375155,-83.227291
447,GA,13121,Fulton,Atlanta,"920,581","1,363.98",526.635,19.917,7.69,"1,383.90",534.325,33.790034,-84.468182
448,GA,13123,Gilmer,Ellijay,"28,292","1,104.73",426.54,12.19,4.706,"1,116.92",431.246,34.690541,-84.453984
449,GA,13125,Glascock,Gibson,"3,082",372.284,143.74,1.848,0.713,374.132,144.453,33.227491,-82.606913
450,GA,13127,Glynn,Brunswick,"79,626","1,087.16",419.753,428.63,165.495,"1,515.79",585.248,31.212747,-81.496517
451,GA,13129,Gordon,Calhoun,"55,186",921.539,355.808,5.788,2.235,927.327,358.043,34.509667,-84.873862
452,GA,13131,Grady,Cairo,"25,011","1,177.22",454.527,14.859,5.737,"1,192.08",460.264,30.875863,-84.244772
453,GA,13133,Greene,Greensboro,"15,994","1,003.45",387.435,48.628,18.775,"1,052.08",406.21,33.576836,-83.167103
454,GA,13135,Gwinnett,Lawrenceville,"805,321","1,114.69",430.383,16.556,6.392,"1,131.24",436.775,33.959101,-84.022938
455,GA,13137,Habersham,Clarkesville,"43,041",716.752,276.74,5.92,2.286,722.672,279.026,34.635108,-83.526406
456,GA,13139,Hall,Gainesville,"179,684","1,017.30",392.782,94.568,36.513,"1,111.87",429.295,34.317588,-83.818497
457,GA,13141,Hancock,Sparta,"9,429","1,222.06",471.841,17.715,6.84,"1,239.78",478.681,33.26922,-83.000465
458,GA,13143,Haralson,Buchanan,"28,780",730.804,282.165,2.616,1.01,733.42,283.175,33.795165,-85.220062
459,GA,13145,Harris,Hamilton,"32,024","1,201.41",463.869,23.536,9.087,"1,224.95",472.956,32.731549,-84.912432
460,GA,13147,Hart,Hartwell,"25,213",601.897,232.394,63.595,24.554,665.492,256.948,34.348733,-82.96329
461,GA,13149,Heard,Franklin,"11,834",766.715,296.03,13.116,5.064,779.831,301.094,33.290968,-85.139594
462,GA,13151,Henry,McDonough,"203,922",834.305,322.127,11.448,4.42,845.752,326.547,33.452881,-84.15444
463,GA,13153,Houston,Perry,"139,900",972.646,375.541,11.345,4.38,983.991,379.921,32.458381,-83.662856
464,GA,13155,Irwin,Ocilla,"9,538",917.744,354.343,21.808,8.42,939.551,362.763,31.604306,-83.277037
465,GA,13157,Jackson,Jefferson,"60,485",879.723,339.663,8.9,3.436,888.623,343.099,34.134157,-83.565133
466,GA,13159,Jasper,Monticello,"13,900",953.543,368.165,13.726,5.3,967.269,373.465,33.314905,-83.687892
467,GA,13161,Jeff Davis,Hazlehurst,"15,068",856.613,330.74,12.064,4.658,868.677,335.398,31.811615,-82.636825
468,GA,13163,Jefferson,Louisville,"16,930","1,363.59",526.485,8.242,3.182,"1,371.83",529.667,33.051874,-82.41905
469,GA,13165,Jenkins,Millen,"8,340",899.449,347.279,13.452,5.194,912.901,352.473,32.794563,-81.971524
470,GA,13167,Johnson,Wrightsville,"9,980",784.793,303.01,9.279,3.582,794.072,306.592,32.689831,-82.661354
471,GA,13169,Jones,Gray,"28,669","1,020.28",393.933,3.843,1.484,"1,024.12",395.417,33.020226,-83.562339
472,GA,13171,Lamar,Barnesville,"18,317",475.263,183.5,6.046,2.334,481.309,185.834,33.07446,-84.146721
473,GA,13173,Lanier,Lakeland,"10,078",479.824,185.261,37.625,14.527,517.45,199.788,31.038197,-83.063164
474,GA,13175,Laurens,Dublin,"48,434","2,090.89",807.296,28.942,11.175,"2,119.83",818.471,32.39322,-82.926317
475,GA,13177,Lee,Leesburg,"28,298",921.476,355.784,15.408,5.949,936.884,361.733,31.818419,-84.146681
476,GA,13179,Liberty,Hinesville,"63,453","1,268.58",489.801,291.96,112.726,"1,560.54",602.527,31.807245,-81.457969
477,GA,13181,Lincoln,Lincolnton,"7,996",544.881,210.38,121.517,46.918,666.398,257.298,33.792151,-82.448299
478,GA,13183,Long,Ludowici,"14,464","1,036.76",400.293,9.116,3.52,"1,045.87",403.813,31.749563,-81.74287
479,GA,13185,Lowndes,Valdosta,"109,233","1,284.81",496.066,37.579,14.509,"1,322.38",510.575,30.83368,-83.268967
480,GA,13187,Lumpkin,Dahlonega,"29,966",732.793,282.933,3.273,1.264,736.066,284.197,34.568149,-83.998828
481,GA,13189,McDuffie,Thomson,"21,875",666.82,257.461,23.121,8.927,689.941,266.388,33.482464,-82.473188
482,GA,13191,McIntosh,Darien,"14,333","1,098.93",424.299,387.448,149.594,"1,486.38",573.893,31.482978,-81.370199
483,GA,13193,Macon,Oglethorpe,"14,740","1,037.65",400.641,13.859,5.351,"1,051.51",405.992,32.366216,-84.052162
484,GA,13195,Madison,Danielsville,"28,120",731.182,282.311,8.487,3.277,739.669,285.588,34.128486,-83.203637
485,GA,13197,Marion,Buena Vista,"8,742",947.944,366.003,3.825,1.477,951.77,367.48,32.359538,-84.529561
486,GA,13199,Meriwether,Greenville,"21,992","1,298.16",501.223,10.834,4.183,"1,309.00",505.406,33.03022,-84.663279
487,GA,13201,Miller,Colquitt,"6,125",731.467,282.421,3.216,1.242,734.683,283.663,31.162908,-84.730386
488,GA,13205,Mitchell,Camilla,"23,498","1,326.29",512.085,4.504,1.739,"1,330.80",513.824,31.22894,-84.192407
