DRI Number,Project Name,Current Status,Contains 'data center'?,Water Usage,Data Center?,Cleaned Water Usage Data
1593,Grant Street Mixed Use Development,Completed,0,0.08 mgd,TBD,0.08
1592,Morningside Redevelopment,Completed,0,.40 mgd,TBD,.40
1590,Lindberg Mixed Use,Completed,0,.46 mgd,TBD,.46
1589,Sapphire Properties,Withdrawn,0,0.03315,TBD,0.03315
1588,Beaver Dam Farms,Withdrawn,0,No water data,TBD,No water data
1586,North Georgia Waste Treatment Facility,Withdrawn,0,No water data,TBD,No water data
1584,Villages of Kingsland,Completed,0,16 mgd,TBD,16
1583,Executive Park,Completed,0,.545 mgd,TBD,.545
1582,236 Perimeter Mixed Use Development,Completed,0,0.158,TBD,0.158
1581,Savannah Sand Mine,Completed,0,"potable water-1,000 gallons per day. production water-0.5 mgd",TBD,"potable water-1,000 gallons per day. production water-0.5"
1580,Waterstone Landing,Completed,0,0.057 mgd,TBD,0.057
1577,North Newport Plantation,Completed,0,.39 gmd,TBD,.39 gmd
1575,"BLD Transfer Station, Inc.",Completed,0,"0.001      (i,000gpd)",TBD,"0.001      (i,000gpd)"
1574,Clifton Ridge Phase 3 and 4,Completed,0,.062 mgd,TBD,.062
1572,"Perma-Fix of South Georgia, Inc. Solid Waste Facility",Terminated,0,No water data,TBD,No water data
1571,Mossy Hollow,Completed,0,0.068,TBD,0.068
1569,Martin Marietta Materials,Terminated,0,No water data,TBD,No water data
1568,SportsTechUSA,Completed,0,1.02 mgd - over 10 years,TBD,1.02
1566,MetLife Tract (Georgia 400 Center),Completed,0,0.204 mgd,TBD,0.204
1565,Fairburn Storage Facility,Completed,0,750 gallons per day,TBD,750 gallons per day
1564,1138 Peachtree Street,Completed,0,0.030 mgd,TBD,0.030
1563,Belmont Hills,Completed,0,"308,400 gpd",TBD,"308,400 gpd"
1561,Belfast Siding,Completed,0,5.3 mgd,TBD,5.3
1559,Swords Pointe,Completed,0,0.12 mgd based on planner's estimating guide suggestion of 280 gpd per residential unit,TBD,0.12
1558,"Windward Mill;Pod 66, Tract D",Completed,0,0.216,TBD,0.216
1556,Village at Forsyth,Completed,0,"74,000 gpd (est.) 0.074 mgd",TBD,"74,000 gpd (est.) 0.074"
1554,Tradeport East Water Reclamation Facility,Completed,0,0.0005 mgd,TBD,0.0005
1553,McClure Industrial Park Addition,Completed,0,..2 mgd,TBD,..2
1551,North Lyman Hall,Completed,0,.34 millions of gallons of water oer day,TBD,.34 millions of gallons of water oer day
1550,Worth County Industrial Park West 2 Expansion,Completed,0,1.350 mgd,TBD,1.350
1549,Vallambrosa Plantation,Completed,0,1.15,TBD,1.15
1548,Baskin Place Subdivision,Completed,0,.10,TBD,.10
1545,Corinth Landing,Completed,0,2.08 mgd (includes fire flow reserve),TBD,2.08
1543,The village at SouthLand Ridge,Initial Form Submitted,0,No water data,TBD,No water data
1542,Water Storage Tank and Distribution Lines for Water and Sewage,Initial Form Submitted,0,No water data,TBD,No water data
1541,Placid Hill,Completed,0,.21mgd,TBD,.21mgd
1539,"Wild Animal Safari, Inc.",Completed,0,.011 mgd,TBD,.011
1537,24 Allen Plaza,Completed,0,0.45 mgd (for 24 and 50 allen plaza),TBD,0.45
1535,Plum Thickett,Completed,0,.034 mgd,TBD,.034
1533,Perimeter Center East Mixed-Use,Completed,0,0.144,TBD,0.144
