DRI Number,Project Name,Current Status,Contains 'data center'?,Water Usage,Data Center?,Cleaned Water Usage Data
4486,Grand Etowah - Bartow,Certified Complete,0,1 million mgd at buildout,TBD,1 million
4485,Blue Heron Development,Additional Form Submitted,0,0.040,TBD,0.040
4483,Town Center at Mansa Park,Initial Form Submitted,0,No water data,TBD,No water data
4482,ATL 15 and 16,Initial Form Submitted,1,No water data,TBD,No water data
4481,The Covey at the Woodlands,Additional Form Submitted,0,.155 mgpd,TBD,.155
4476,Providence Point,Request for Comments Made,0,"0.2 mgd (193,200 gallons per day)",TBD,0.2
4474,Love's Travel Stop Parking Addition,Request for Comments Made,0,0.0006 mgd,TBD,0.0006
4473,RaceTrac Jimmy Deloach Parkway,DRI Determination Made,0,0.003214mgd,TBD,0.003214mgd
4470,Reynolds Renaissance,Request for Comments Made,0,0.075 mgd,TBD,0.075
4468,Outrigger Wade Orr Road,Additional Form Submitted,0,0.0143 mgd,TBD,0.0143
4467,Ga. Hwy. 122 Project,Additional Form Submitted,0,0.064,TBD,0.064
4465,T5 ATL IV,DRI Determination Made,1,No water data,TBD,No water data
4464,4300 Pleasantdale Road Redevelopment,DRI Determination Made,0,No water data,TBD,No water data
4463,Fueling Center expansion with truck parking,Completed,0,0.001 mgd,TBD,0.001
4462,VALIANT TRADERS,Completed,0,0.0155 mgpd,TBD,0.0155
4461,"5401 Old Winder Highway, Braselton, GA 30517 - Industrial",Additional Form Submitted,0,0.028,TBD,0.028
4460,"5401 Old Winder Highway, Braselton, GA 30517 - Residential",Initial Form Submitted,0,No water data,TBD,No water data
4459,BPG Logistics Park,Completed,0,0.10 mgd,TBD,0.10
4458,High Falls Logistics Park,Completed,0,0.050,TBD,0.050
4457,Macon Park N Store 5 LLC,Completed,0,"less than 1,000 gallons per month",TBD,"less than 1,000 gallons per month"
4456,Project Rockforge,DRI Determination Made,0,No water data,TBD,No water data
4454,Thomas Concrete,Completed,0,0.013 mgd,TBD,0.013
4453,Transfer Station - ABC Waste,Completed,0,100 gpd (0.0001 mgd),TBD,100 gpd (0.0001
4451,Avemore,Completed,0,tbd,TBD,tbd
4448,Project Gracie,Completed,1,5.0 at full buildout,TBD,5.0 at full buildout
4446,Bolingbroke Technology Campus,Completed,0,1 mgd,TBD,1
4444,Hard Labor Creek Water Treatment Facility,Completed,0,0.18 mgd,TBD,0.18
4443,White Oak Technology Park,Completed,1,6.598 mgd,TBD,6.598
4441,Vulcan,DRI Determination Made,0,No water data,TBD,No water data
4438,Hwy 278 Material Storage,Completed,0,300 gallons per day,TBD,300 gallons per day
4434,MADISON FARMS INDUSTRIAL CENTER,Completed,0,0.034 mgd,TBD,0.034
4433,Project Bunkhouse,Completed,1,No water data,TBD,No water data
4431,356 University,DRI Determination Made,0,No water data,TBD,No water data
4430,Sylvan Mixed Use,DRI Determination Made,0,No water data,TBD,No water data
4428,Gregory Road Data Center,Completed,1,±1.08 mgd,TBD,±1.08
4427,Everhour Phase 2 Residential Development,DRI Determination Made,0,No water data,TBD,No water data
4426,Social Circle Technology Park,Completed,1,0.23 mgd,TBD,0.23
4425,Project Spalding,Completed,1,0.0165,TBD,0.0165
4424,McDonough Civic Complex,DRI Determination Made,0,No water data,TBD,No water data
4423,Project 34,DRI Determination Made,0,"0.01 mgd (10,000 gallons/day)",TBD,0.01
4422,Hickman Property,DRI Determination Made,1,No water data,TBD,No water data
4421,McLendon Tract PUD,Completed,0,0.45 mgd,TBD,0.45
4420,Racetrac Extended Diesel Offer,Completed,0,0.00222 mgd,TBD,0.00222
4416,Short Road Mixed Use,DRI Determination Made,0,No water data,TBD,No water data
4414,Project West,Completed,1,0.1 mgd,TBD,0.1
4412,1056784 7-Eleven New Development,Completed,0,"3,000 gallons per day",TBD,"3,000 gallons per day"
4410,Dawes Avenue Planned Development,Terminated,0,No water data,TBD,No water data
4409,Dawes Avenue Planned Development,Terminated,0,No water data,TBD,No water data
4408,Dawes Avenue Planned Development,Completed,0,No water data,TBD,No water data
4406,Newnan Crossing East Mixed-Use Development,DRI Determination Made,0,0.12 mgd,TBD,0.12
4405,Riverside Planned Development,Completed,0,0.25 million gallons per day at buildout,TBD,0.25 million gallons per day at buildout
4403,Project Springbank,Completed,1,"0.015 (15,000 gpd)",TBD,"0.015 (15,000 gpd)"
4401,7-11 Site #1056746,Completed,0,0.00025 mgd,TBD,0.00025
4400,Project Mermaid,Completed,0,0.02 mgd,TBD,0.02
4399,"Lake Oconee Estates & Beach Club, Phase II",Completed,0,0.1 mgd,TBD,0.1
4396,Piedmont Paving Asphalt Plant,Completed,0,.001 mgd,TBD,.001
4391,Extra Mile Truck Stop,Completed,0,.00025 mgd,TBD,.00025
4390,Project Splice,Completed,0,0.3 mgd,TBD,0.3
4388,Oxford Newnan,Completed,0,0.14 mgd,TBD,0.14
4387,Project Paradise,Completed,0,.03mgd,TBD,.03mgd
4386,Project Horn,Completed,0,0.010425,TBD,0.010425
4385,Project Horn,Withdrawn,0,No water data,TBD,No water data
4384,Lake Lanier Resort,Additional Form Submitted,0,0.053 mgd,TBD,0.053
4383,Clipper Petroleum,Completed,0,0.015,TBD,0.015
4381,Gas Pro Travel Center #108,Completed,0,"1,400 gpd",TBD,"1,400 gpd"
4380,IMI Corporate Campus,Completed,0,0.00113 mgd (1130 gdp),TBD,0.00113
4379,Laurel View Expansion,Completed,0,.1918 mgd,TBD,.1918
4378,DeKalb Concrete Plant,DRI Determination Made,0,"estimated consumption of 10,000 gallons per day",TBD,"estimated consumption of 10,000 gallons per day"
4376,Newton County Technology Park,Completed,1,0.23 mgd,TBD,0.23
4375,Hwy-9 Tract,Initial Form Submitted,0,No water data,TBD,No water data
4374,Central Coweta Industrial Phase II,DRI Determination Made,1,0.028 mgd,TBD,0.028
4372,Cottages at Lake Oconee,Completed,0,"0.059 mgd (59,466 gpd average)",TBD,0.059
4371,Cascade Palmetto Highway & Ridge Road,DRI Determination Made,0,No water data,TBD,No water data
4370,TD Jakes - Fort Mac Village One,DRI Determination Made,0,No water data,TBD,No water data
4369,The Bluffs at Darien,Completed,0,0.038,TBD,0.038
4367,981 Howell Mill Road Mixed-Use Development,Additional Form Submitted,0,0.32 mgd/ day,TBD,0.32
4365,Panola Park,DRI Determination Made,0,No water data,TBD,No water data
4364,Tates Landing Surface Mine,Completed,0,"41,700",TBD,"41,700"
4363,Golden Isles Speedway Surface Mine,Completed,0,na,TBD,na
4362,Huber West Midtown,DRI Determination Made,0,No water data,TBD,No water data
4361,Project Sail,Request for Comments Made,1,9.1,TBD,9.1
4360,Lotus Grove,Certified Complete,0,0.124 mgd,TBD,0.124
4359,The Crossing at Flowery Branch,Additional Form Submitted,0,0.13 mgd,TBD,0.13
4358,Lanier Auto Sales & Truck Storage,Withdrawn,0,50 to 70 gallons per day,TBD,50 to 70 gallons per day
4357,Lanier Auto Sales & Truck Storage,Request for Comments Made,0,No water data,TBD,No water data
4353,Old Register Road PUD,Completed,0,0.8 mgd,TBD,0.8
4352,Serenbe,DRI Determination Made,0,0.35 mgd ~ 12.8 mgy,TBD,0.35
4351,Davis Road Townhomes,Completed,0,to be determined,TBD,to be determined
4350,"Speedway - Carnesville, GA",Completed,0,0.0056 mgd,TBD,0.0056
4348,Le Jardin Subdivision,Additional Form Submitted,0,0.25,TBD,0.25
4347,Avemore,Withdrawn,0,1 mgd,TBD,1
4345,Bagley Tract Dawson Forest,Additional Form Submitted,0,.057 mgd,TBD,.057
4343,Southlake Business Park,Completed,0,0.002,TBD,0.002
4342,Stonewall Tell Data Center,Completed,1,0.030 mgd,TBD,0.030
4340,Serenity Lake,Withdrawn,0,No water data,TBD,No water data
4337,Grove Creek,Completed,0,0.4161 mgd,TBD,0.4161
4336,Raydient 2025 Planned Unit Development (PUD),Completed,0,0.85 mgd,TBD,0.85
4335,Lakeshore Mall Redevelopment,Completed,0,0.37 mgd,TBD,0.37
4334,Stream Data Center,Completed,1,0.018 mgd,TBD,0.018
4332,City of Cartersville Transfer Station,Completed,0,"up to 240 gpd (0.00024 mgd). (30 gpd per employee, 3 employees; and 150 gpd wash water",TBD,up to 240 gpd (0.00024
4331,Fortner Road Townhouses,Completed,0,0.05mgd,TBD,0.05mgd
4330,Avon-Higgins Mixed Use,Completed,0,1.1 mgd,TBD,1.1
4329,Data Center - 0 Social Circle Parkway,Completed,1,0.02 mgd,TBD,0.02
4328,STEPHENS lake,Additional Form Submitted,0,.15 mgd,TBD,.15
4327,1900 Level Grove Road Townhome Development,Completed,0,0.07 mgd,TBD,0.07
4326,Lithia Springs Data Center,Completed,1,0.062 mgd,TBD,0.062
4325,Lithia Springs Data Center,Withdrawn,1,No water data,TBD,No water data
4324,Georgia Stone Products Pine Log Quarry,Completed,0,"less than 1,000 gallons per day",TBD,"less than 1,000 gallons per day"
4322,Project Hummingbird,Completed,0,.475mgd,TBD,.475mgd
4321,680 Spring Street,Completed,0,to be determined by mep as plans progress,TBD,to be determined by mep as plans progress
4320,Corporate Square Redevelopment,Completed,0,0.6 mgd,TBD,0.6
4319,SOLARCYCLE EXPANSION,Completed,0,"to be determined, utilizing existing water supply and infrastructure.",TBD,"to be determined, utilizing existing water supply and infrastructure."
4318,New Ready-Mix Concrete Plant,Completed,0,0.0035 mgd,TBD,0.0035
4317,Brookside Mixed-Use,Completed,0,0.22 mgd,TBD,0.22
4316,Pope Farm,Completed,0,.2048 mgd,TBD,.2048
4315,ATL03/Red Oak,Completed,1,0.6 mgd,TBD,0.6
4314,"Mahaffey Pickens Tucker, LLP",Completed,0,0.141 mgd,TBD,0.141
4313,Mapco Industrial Site,Completed,0,0.164 mgd (1.2x sewer gpd),TBD,0.164
4310,Cresswind at Dawson Springs,Completed,0,.20 mgd,TBD,.20
4308,Rumble Technology Campus,Completed,1,2 mgd,TBD,2
4307,Hillwood,Completed,0,.03 mgd,TBD,.03
4306,Fayetteville City Center,Completed,0,0.1681,TBD,0.1681
4305,Sparta Quarry,Completed,0,200 gallons/day for office/shop toilet & sink,TBD,200 gallons/day for office/shop toilet & sink
4304,NE Industrial Blvd Truck Parking,Completed,0,0,TBD,0
4303,Oak Tree Road Towns,Completed,0,0.266,TBD,0.266
4302,Hwy 411 west Industrial Park,Completed,0,0.108 mmgpd,TBD,0.108 mmgpd
4301,Project Peach,Completed,1,0.105 mgd,TBD,0.105
4300,32 Crossing,Additional Form Submitted,0,"single-family - 350 gpd/home, multi-family - 300 gpd/ per home (.0541 mgd)",TBD,"single-family - 350 gpd/home, multi-family - 300 gpd/ per home (.0541"
4298,Leblanc Tract,Completed,0,0.076 mgd,TBD,0.076
4297,A. Scott Emmons Water Reclamation Facility Phase 2 and 2A,Completed,0,<0.005,TBD,<0.005
4295,425 Chappell Road,Completed,0,0.33 mgd,TBD,0.33
4294,Refuge Subdivision,Completed,0,"137,700",TBD,"137,700"
4292,Dover Bluff Tract,Completed,0,0.177 mgd,TBD,0.177
4291,Smarr Combined Cycle Energy Facility,Completed,0,approximately 0.10 to 0.37 mgd,TBD,approximately 0.10 to 0.37
4290,Hinely Tract Planned Development,Completed,0,0.16 mgd,TBD,0.16
4288,Commerce 2.0 MGD Grove Creek Water Pollution Control Plant,Completed,0,no extra water demand expected,TBD,no extra water demand expected
4286,North Towaliga Village Node,Completed,0,.16994 mgd,TBD,.16994
4284,Industrial Concrete Plant,Completed,0,No water data,TBD,No water data
4283,Industrial Concrete Plant,Completed,0,.015 mgd,TBD,.015
4282,Bouckaert Farms,DRI Determination Made,0,0.8 mgd ~ 218 mgy,TBD,0.8
4281,Ridgeview,Withdrawn,0,No water data,TBD,No water data
4280,Ridgeview,Completed,0,0.214,TBD,0.214
4277,East Jackson Quarry,Completed,0,0,TBD,0
4274,ETOWAH HEIGHTS AT RED TOP,Completed,0,0.58 mgd,TBD,0.58
4273,Oconee Gateway Office Warehouse,Completed,0,"21,150 gpd or 0.02 mgd",TBD,"21,150 gpd or 0.02"
4272,Legacy 75 Trade Center with proposed quarry,Completed,0,up to 0.5129,TBD,up to 0.5129
4270,Monroe Plaza Commercial Center,Completed,0,"4,000 gpd / 1,000.000 = 0.004 million gpd",TBD,"4,000 gpd / 1,000.000 = 0.004 million gpd"
4269,Oconee Gateway Office Warehouse,Withdrawn,0,"21,150 gpd or 0.02 mgd",TBD,"21,150 gpd or 0.02"
4267,Rahn Tract,Completed,0,No water data,TBD,No water data
4266,Rahn Tract,Completed,0,0.031,TBD,0.031
4265,Highway 280 Asphalt Plant,Completed,0,No water data,TBD,No water data
4263,M94 SMP Amendment 8,Completed,0,0 mgd,TBD,0
4260,"RaceTrac, Inc.",Completed,0,0.003214 mgd,TBD,0.003214
4259,South Spring,Completed,0,0.28 mgd,TBD,0.28
4258,Thompson Mill Braselton Georgia,Completed,0,"100,000 gpd",TBD,"100,000 gpd"
4257,Vantage Data Center - Stacks Rd,Completed,1,0.03,TBD,0.03
4256,Vantage Data Center - Westlake,Completed,1,".0044 mgd (4,380 gpd)",TBD,.0044
4255,South Water Reclamation Facility,Completed,0,na,TBD,na
4254,Winslow Park,Completed,0,0.175,TBD,0.175
4253,1950 Benton Blvd. and 76 Highlands Blvd. LLC,Completed,0,+/- 0.194 mgd (including proposed kroger),TBD,+/- 0.194
4252,Oconee Shores,Completed,0,0.3221 mgd,TBD,0.3221
4251,Strickland Tract,Completed,1,0.004,TBD,0.004
4250,Champion's Run,Withdrawn,0,No water data,TBD,No water data
4249,23-293 Herbert Automotive,Completed,0,0,TBD,0
4244,Pendergrass Assemblage,Completed,0,0.159 mgd,TBD,0.159
4242,Laurel View,Completed,0,0.849935 mgd,TBD,0.849935
4241,Branch Springs,Completed,0,2.5,TBD,2.5
4239,Hacks Pasture Subdivision,Completed,0,"660,000",TBD,"660,000"
4237,Lofts at South Fulton,Completed,0,0.2059 mgd,TBD,0.2059
4235,ATL11,Completed,1,0.05 mgd,TBD,0.05
4234,Old Augusta Industrial Park,Completed,0,.003,TBD,.003
4233,W & W Parking,Withdrawn,0,tbd,TBD,tbd
4232,The Shoals Athens,Completed,0,0.169,TBD,0.169
4230,First Quality Phase 3 Expansion,Withdrawn,0,No water data,TBD,No water data
4229,First Quality Phase 3 Expansion,Completed,0,"60,000 gpd",TBD,"60,000 gpd"
4228,Hwy 124/Maddox Road,Completed,0,0.0066,TBD,0.0066
4224,Carey Station Urban Water Reuse Facility 0.5MGD to 1.0MGD Expansion,Completed,0,no extra water demand,TBD,no extra water demand
4223,Cobb County Schools Event Facility,Withdrawn,0,No water data,TBD,No water data
4222,T5 Data Center,Withdrawn,1,No water data,TBD,No water data
4220,Breedlove Farms,Completed,0,0.500,TBD,0.500
4217,Fairgrounds Legacy Development,Completed,0,~0.12 mgd,TBD,~0.12
4215,Blue Fern Village,Completed,0,"780,000",TBD,"780,000"
4214,Harrison Ridge Subdivision,Completed,0,0.05,TBD,0.05
4213,Fairburn Technology Center,Completed,1,"60,000 gallons of water per day",TBD,"60,000 gallons of water per day"
4212,Highway 119 PUD,Completed,0,.14 mgd,TBD,.14
4207,Lucky Joe PUD,Completed,0,0.135 mgd,TBD,0.135
4206,GarrisonTract  Planned Unit Development,Completed,0,0.09 mgd,TBD,0.09
4204,Warnell-GSL Cattle Co LLC,Completed,0,0.8 mgd,TBD,0.8
4201,SunmaxTech Manufacturing Facility,Completed,0,No water data,TBD,No water data
4198,0 Rocky Creek,Completed,1,0.004,TBD,0.004
4195,Villages at Ola Mixed Use Development,Completed,0,0.12 mgd,TBD,0.12
4194,Trinity Christian School and Church,Completed,0,0.02875mgd,TBD,0.02875mgd
4193,Metter Industrial Complex,Additional Form Submitted,0,"0.0099 mgd (9,850 gpd)",TBD,0.0099
4192,Douglas Waldrop,Completed,1,0.01 mgd,TBD,0.01
4188,McIntosh County Major Modification of Permit for Landfill Expansion,Completed,0,No water data,TBD,No water data
4187,1060 Donald Lee Hollowell,Completed,0,0.60 mgd,TBD,0.60
4186,Guyton Industrial Dr Waste and Recycling Facility,Completed,0,"up to 2,000 gpd (0.002 mgd) based on max 65 employees and 30 gpd/employee",TBD,"up to 2,000 gpd (0.002"
4185,The Landing at Tuck Farm,Completed,0,0.25 mgd,TBD,0.25
4184,Apalachee Tract,Withdrawn,0,0.3429 mgd,TBD,0.3429
4183,Ridgeview,Completed,0,0.214,TBD,0.214
4182,Bucksnort Rd. Multi-use Development Truck Stop,Completed,0,0.01 mgd,TBD,0.01
4179,MS2 Farms Tract - Effingham Parkway,Completed,0,.006,TBD,.006
4178,Meissner Corporation- Athens Campus,Completed,0,0.08 mgpd,TBD,0.08
4176,"Pates Creek Subdivision, Phase 3",Completed,0,0.072 mgd,TBD,0.072
4175,"Pigmental Studios, St. Marys, GA.",Completed,0,0.183 mgd,TBD,0.183
4174,Poole Mountain,Withdrawn,0,No water data,TBD,No water data
4173,Poole Mountain,Completed,0,0.31,TBD,0.31
4171,Project Eisenhower,Completed,1,0.018mgd,TBD,0.018mgd
4170,Southbound Timberland Tract,Completed,0,+/ -0.031 mgd,TBD,+/ -0.031
4169,Williamson Tract,Completed,0,+/ -0.02 mgd,TBD,+/ -0.02
4168,Auburn Drinking Water Supply Project,Completed,0,0.8 mgd,TBD,0.8
4165,Access Warren I-20 Commerce Park,Completed,0,0.5 mgd,TBD,0.5
4164,Benister,Completed,0,0.7004 mgd,TBD,0.7004
4162,Imola Automotive USA,Completed,0,.25 million gallons per day,TBD,.25 million gallons per day
4160,Oldcastle APG GMS Cartersville Expansion,Completed,0,"0.00187 mgd (56,000 gals/ month)",TBD,0.00187
4159,Sparkman-Anderson Tract - SPH 21,Completed,0,.0105,TBD,.0105
4158,404 Concrete Ready Mix,Completed,0,0.00108,TBD,0.00108
4157,Macon Road PUD,Initial Form Submitted,0,No water data,TBD,No water data
4155,St. George Crossing,Completed,0,.15 mgd,TBD,.15
4151,Dinah Pace Road at Brown Bridge Road,Completed,0,0.17,TBD,0.17
4148,"SOLARCYCLE,INC.",Completed,0,0.693 mgd,TBD,0.693
4147,Rockdale Technology Park 1,Completed,1,0.03 mgd,TBD,0.03
4146,Buford Creek Business Center,Completed,0,0.014 mgd,TBD,0.014
4144,Quarry Water Supply Project Including Drinking Water Treatment Plant,Withdrawn,0,0,TBD,0
4143,141 South Project,Completed,0,No water data,TBD,No water data
4142,RaceTrac April Court TC,Completed,0,0.0025 mgd,TBD,0.0025
4135,Sawtooth Farms Subdivision,Initial Form Submitted,0,No water data,TBD,No water data
4134,"NW Georgia Land Holdings, LLC",Completed,0,No water data,TBD,No water data
4133,Buford Creek Business Center,Withdrawn,0,0.014 mgd,TBD,0.014
4132,Sardis Church Truck Parking,Completed,0,0 mgd,TBD,0
4130,Quik Trip,Completed,0,0.0021 mgd,TBD,0.0021
4127,Chicken Lyle Rezoning,Completed,0,0.163 mgd,TBD,0.163
4125,Bill Arp Residential,Completed,0,0.5 mgd,TBD,0.5
4123,RaceTrac Valdosta EDO,Completed,0,0.003214 mgd,TBD,0.003214
4122,Woodbury Village (Project Name),Completed,0,0.0695 mgd,TBD,0.0695
4121,Royal Tract - SPH 21,Completed,0,.00310,TBD,.00310
4120,DC Blox - ATL East Data Center,Completed,1,"785 gpd (0.008 mgd, 0.55 gpm)",TBD,785 gpd (0.008
4119,Sawtooth Farms Subdivision,Initial Form Submitted,0,No water data,TBD,No water data
4118,Warnell Farms PUD,Completed,0,0.295 mgd,TBD,0.295
4117,665 Marietta Street,Completed,0,0.59 mgd,TBD,0.59
4116,Jones Petroleum Travel Center 2,Completed,0,0.058 mgd,TBD,0.058
4114,Wayne Davis Concrete Plant,Completed,0,na,TBD,na
4113,Mixed Use Development - Thompson Mill/SR 211,Withdrawn,0,No water data,TBD,No water data
4112,DC Blox- ATL West Data Center,Completed,1,"17,640 gpd (.018 mgd)",TBD,"17,640 gpd (.018"
4111,DC Blox- ATL West Data Center,Withdrawn,1,No water data,TBD,No water data
4109,Clifton Springs Mixed-Use,Completed,0,0.17 mgd,TBD,0.17
4108,RaceTrac,Withdrawn,0,No water data,TBD,No water data
4107,Love's Travel Stop & Country Store,Completed,0,0.07 mgd,TBD,0.07
4106,Di VIne Village,Completed,0,unknown at this time,TBD,unknown at this time
4105,Lake Oconee Estates & Beach Club,Completed,0,0.1 mgd,TBD,0.1
4103,TD Jakes - Fort Mac Village One,Withdrawn,0,No water data,TBD,No water data
4099,Wyndham PUD,Completed,0,0.267 mgd,TBD,0.267
4098,Thompson Mill Village,Completed,0,0.042 mgd,TBD,0.042
4096,RaceTrac Ellabell EDO,Completed,0,0.003214 mgd,TBD,0.003214
4094,Project Rita,Completed,0,.225 mgd,TBD,.225
4093,RaceTrac - Metter,Completed,0,.0014 mgd,TBD,.0014
4092,DAB Properties Transfer Station,Completed,0,0.0025 mgd,TBD,0.0025
4091,New Hampstead PUD Amendment 2023,Completed,0,2.6 mgd,TBD,2.6
4087,Lithia Springs Data Center,Completed,1,0.031 mgd,TBD,0.031
4085,Port Royal - Planned Unit Development,Completed,0,0.20 mgd,TBD,0.20
4084,Hwy 278 / Brock Road / Noland Road Project,Completed,0,No water data,TBD,No water data
4083,Rockmart Residential (Cartersville Hwy),Completed,0,.06 mgd,TBD,.06
4082,Bulloch County Regional Water Supply,Completed,0,3.15 mgd,TBD,3.15
4081,Thompson Bridge Mixed-Use,Completed,0,0.851 mgd (avg.),TBD,0.851
4080,River Park Phase 4,Completed,0,0.007 mgd,TBD,0.007
4079,T5 - ATL IV Data Center,Completed,1,0.077 mgd,TBD,0.077
4078,Rock House Road Data Center Site,Completed,1,1.14 mgd,TBD,1.14
4076,PNK-Madison,Withdrawn,0,0.223 mgd,TBD,0.223
4075,Bartram ADM Properties,Completed,0,< 1.0 mgd,TBD,< 1.0
4074,Cascade Palmetto Highway & Ridge Road,Completed,0,0.35 gpd,TBD,0.35 gpd
4071,Project Frasier,Withdrawn,0,No water data,TBD,No water data
4070,Project Frasier,Completed,0,"approximately 0.0017 mgd (1,726 gpd)",TBD,approximately 0.0017
4069,A. Scott Emmons Water Reclamation Facility Phases 2 and 2A,Completed,0,<0.005,TBD,<0.005
4067,Mead Road Transfer Station,Completed,0,0.0005,TBD,0.0005
4065,Amsterdam Walk,Completed,0,0.35 mgd,TBD,0.35
4064,McKinna Surface Mine,Completed,0,No water data,TBD,No water data
4063,7-Eleven (Store #1055592),Completed,0,No water data,TBD,No water data
4061,Switch KEEP 2.0 Atlanta North Campus,Completed,1,1.3 mgd,TBD,1.3
4057,Westwood,Completed,0,0.38,TBD,0.38
4054,Monteith Rezoning,Completed,0,information not provided,TBD,information not provided
4052,Meinhard Rezoning,Completed,0,.003,TBD,.003
4051,Vantage Data Center,Completed,1,estimate water supply demand =  0.014 mgd,TBD,estimate water supply demand =  0.014
4049,Hwy 293 Trash Transfer Station,Completed,0,"less than 2,500 gallons a day",TBD,"less than 2,500 gallons a day"
4048,Greene Gateway Industrial Park,Completed,0,"40,000 gpd",TBD,"40,000 gpd"
4047,Nancy Industrial Drive Tract,Completed,0,0.25 mgd,TBD,0.25
4046,Circle K Pooler Diesel Canopy Expansion,Completed,0,0 mgd,TBD,0
4044,JLM - Bloomingdale Residential Development,Completed,0,.141,TBD,.141
4043,ECI Richmond Hill Multifamily,Completed,0,.0873mgd,TBD,.0873mgd
4042,Sockwell Eastside Village,Completed,0,".1125mgd  (112,482 gal/day)",TBD,".1125mgd  (112,482 gal/day)"
4041,Keller PD,Completed,0,0.3327 mgd,TBD,0.3327
4040,Walker CountyStone,Completed,0,.5148 mgd (includes recycled water),TBD,.5148
4038,Market Place Boulevard,Withdrawn,0,No water data,TBD,No water data
4036,Bowen Homes Redevelopment,Completed,0,phase 1: 0.22 mgd | phase 2: 0.59 mgd,TBD,phase 1: 0.22
4035,Erickson Project,Withdrawn,0,No water data,TBD,No water data
4034,Basic Ready Mix Kingston Concrete Plant,Completed,0,"32,000 gallons per day (0.032 mgd)",TBD,"32,000 gallons per day (0.032"
4031,Hillwood South,Completed,0,0.063 mgd,TBD,0.063
4029,City Water Plant #2,Completed,0,No water data,TBD,No water data
4028,7-Eleven Travel Center,Completed,0,0.0056 mgd,TBD,0.0056
4027,"Creative Land Co, LLC",Completed,0,0.18 mgd,TBD,0.18
4026,Cypress Grove,Withdrawn,0,No water data,TBD,No water data
4025,Cypress Grove,Withdrawn,0,No water data,TBD,No water data
4024,Cypress Grove,Withdrawn,0,No water data,TBD,No water data
4023,Cypress Grove,Completed,0,0.09 mgd,TBD,0.09
4020,1773 Jeffersonville Road Truck Parking,Terminated,0,No water data,TBD,No water data
4014,"Joyride Logistics, LLC Truck Park",Completed,0,0,TBD,0
4013,Ackerman 81,Completed,0,.015 mgd,TBD,.015
4011,Lanier Landing,Completed,0,1.4 mgd,TBD,1.4
4010,7-Eleven (Store #1055378),Completed,0,0.0056 mgd,TBD,0.0056
4008,Gateway Phase lll,Completed,0,0.074,TBD,0.074
4006,"Atlanta Motorsports Park, LLC",Withdrawn,0,No water data,TBD,No water data
4005,"Atlanta Motorsports Park, LLC",Completed,0,"30,000",TBD,"30,000"
4004,Merrill Park Chattahoochee Hills,Completed,0,1.42 mgd,TBD,1.42
4003,7-Eleven (Store #1055418),Completed,0,0.0056 mgd,TBD,0.0056
4002,QuikTrip No. 1760,Completed,0,.002405 mgd,TBD,.002405
4001,Hilltop Acres,Completed,0,"57,000",TBD,"57,000"
3998,Newton County Logistics Center,Completed,0,0.03 mgd,TBD,0.03
3997,Granite Rock Quarry,Completed,0,No water data,TBD,No water data
3996,Interstate 75 Exit 146 Truck Parking,Completed,0,none,TBD,none
3995,Solid Waste Disposal & Recycling Facility,Completed,0,estimated to be less than 0.005 mgd,TBD,estimated to be less than 0.005
3994,"IceCap Cold Strorage, Thomson Georgia",Completed,0,0.0369 million gallons per day,TBD,0.0369 million gallons per day
3993,Amlajack Industrial Park,Completed,0,0.064 mgd,TBD,0.064
3992,Hill - Durrence Tract,Completed,0,0.033,TBD,0.033
3991,Old Augusta Commerce Center,Completed,0,No water data,TBD,No water data
3989,The Bluffs At Manning Mill,Completed,0,.22 mgd,TBD,.22
3987,The Lake Society at Lake Oconee,Completed,0,0.25 mgd,TBD,0.25
3986,Towne West,Completed,0,2.38 mgd (peak hour),TBD,2.38
3983,Circle K Brunswick HSD Expansion,Completed,0,0 mgd,TBD,0
3982,Pleasant Valley Road Quarry,Completed,0,"3,000",TBD,"3,000"
3981,Stubbs Tract 2,Completed,0,+/- 0.014 mgd,TBD,+/- 0.014
3980,Stubbs Tract 1,Completed,0,+/- 0.020 mgd,TBD,+/- 0.020
3978,Putnam Development Center,Completed,0,.18 mgd,TBD,.18
3976,Hillwood Poplar Road Industrial,Completed,0,"10,773 gpd",TBD,"10,773 gpd"
3974,The Grove,Completed,0,2.04 mgd as per applicant's proposal.,TBD,2.04
3973,Jackson-16 Logistics Center,Completed,0,0.111 mgd,TBD,0.111
3971,PNK Tallapoosa,Completed,0,0.207 mgd,TBD,0.207
3968,Mountain Springs Retreat,Completed,0,0.174 mgd with a peak total of 0.434 mgd,TBD,0.174
3967,The Gathering at South Forsyth,Completed,0,2.07,TBD,2.07
3966,Exley North,Completed,0,0.03mgd,TBD,0.03mgd
3965,Poole Mountain,Withdrawn,0,No water data,TBD,No water data
3964,Green Meadows,Completed,0,0.249 mgd,TBD,0.249
3961,Creekside Property Management LLC Parking Lot,Completed,0,0,TBD,0
3960,Seller's Mill Tributary,Completed,0,0.45 mgd,TBD,0.45
3958,Macon Truck Parking,Completed,0,No water data,TBD,No water data
3957,Vanguard Renewables on Schaapman Holstein's Dairy,Completed,0,0.008 mgd,TBD,0.008
3955,Hawks Ridge,Completed,0,2.1 mgd,TBD,2.1
3953,Harvest Recycling,Completed,0,2500 gallons per day (.0025 mgd),TBD,2500 gallons per day (.0025
